Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,age
0,2,1,2,0,65.6344,2,24.0
0,3,1,0,0,7.8958,2,29.69911764705882
0,3,0,1,1,15.5,1,32.0
0,2,1,0,0,13.0,2,23.0
0,1,1,0,2,65.6344,0,54.5
1,1,1,2,0,65.6344,2,50.0
0,3,1,0,0,7.225,0,40.0
0,1,1,0,0,25.5875,2,47.0
0,3,1,0,0,7.4958,2,36.0
1,3,1,1,0,7.925,2,20.0
0,2,1,2,0,65.6344,2,32.0
0,2,1,0,0,13.0,2,25.0
0,3,1,0,0,7.775,2,29.69911764705882
0,3,1,0,0,8.05,2,43.0
1,1,0,1,0,52.0,2,29.69911764705882
1,2,0,1,1,39.0,2,40.0
0,1,1,1,0,52.0,2,31.0
0,2,1,0,0,10.5,2,54.5
1,2,1,0,0,13.0,2,31.0
0,2,1,0,0,0.0,2,29.69911764705882
0,3,1,0,0,7.775,2,18.0
0,3,1,0,0,8.05,2,24.5
1,3,0,0,0,9.8417,2,18.0
0,3,0,1,6,46.9,2,43.0
1,1,1,0,1,65.6344,0,36.0
0,3,0,0,0,8.1375,1,29.69911764705882
1,1,1,0,0,65.6344,0,27.0
0,3,1,0,0,9.225,2,20.0
0,3,1,5,2,46.9,2,14.0
0,2,1,1,1,39.0,2,54.5
0,2,1,1,2,41.5792,0,25.0
0,3,1,4,1,39.6875,2,14.0
0,3,1,0,0,10.1708,2,19.0
0,3,1,0,0,7.7958,2,18.0
1,1,0,0,1,65.6344,2,15.0
1,1,1,1,0,57.0,2,31.0
1,3,0,0,1,13.4167,0,4.0
1,3,1,0,0,56.4958,2,29.69911764705882
0,3,1,0,0,7.225,0,25.0
0,1,1,0,0,26.55,2,54.5
0,2,1,0,0,13.5,2,52.0
0,3,1,0,0,8.05,2,44.0
1,3,0,0,0,7.7333,1,29.69911764705882
0,1,1,1,1,65.6344,0,49.0
0,3,1,0,0,7.65,2,42.0
1,1,0,1,0,65.6344,0,18.0
1,1,1,0,0,26.2875,2,35.0
0,3,0,0,1,14.4542,0,18.0
0,3,1,0,0,7.7417,1,25.0
0,3,1,1,0,7.8542,2,26.0
0,2,1,0,0,26.0,2,39.0
1,2,0,0,0,13.5,2,45.0
1,1,1,0,0,26.2875,2,42.0
1,1,0,0,0,65.6344,2,22.0
1,3,1,1,1,15.2458,0,29.69911764705882
1,1,0,0,0,49.5042,0,24.0
0,1,1,0,0,26.55,2,29.69911764705882
1,1,1,1,0,52.0,2,48.0
0,3,1,0,0,9.4833,2,29.0
0,2,1,0,0,13.0,2,52.0
0,3,1,0,0,7.65,2,19.0
1,1,0,0,0,65.6344,0,38.0
1,2,0,0,0,10.5,2,27.0
0,3,1,0,0,15.5,1,29.69911764705882
0,3,1,0,0,7.775,2,33.0
1,2,0,0,1,33.0,2,6.0
0,3,1,1,0,7.0542,2,17.0
0,2,1,0,0,13.0,2,34.0
0,2,1,0,0,13.0,2,50.0
1,1,1,1,0,53.1,2,27.0
0,3,1,0,0,8.6625,2,20.0
1,2,0,3,0,21.0,2,30.0
1,3,0,0,0,7.7375,1,29.69911764705882
0,2,1,1,0,26.0,2,25.0
0,3,0,1,0,7.925,2,25.0
1,1,0,0,0,65.6344,2,29.0
0,3,1,0,0,18.7875,0,11.0
0,2,1,0,0,0.0,2,29.69911764705882
0,2,1,0,0,13.0,2,23.0
0,2,1,0,0,13.0,2,23.0
0,3,1,0,0,16.1,2,28.5
0,3,0,1,3,34.375,2,48.0
1,1,1,0,0,65.6344,0,35.0
0,3,1,0,0,7.8958,2,29.69911764705882
0,3,1,0,0,7.8958,2,29.69911764705882
1,1,1,0,0,30.0,2,29.69911764705882
0,1,1,1,0,65.6344,2,36.0
1,1,0,2,2,65.6344,0,21.0
0,3,1,1,0,16.1,2,24.0
1,3,1,0,0,7.925,2,31.0
0,1,1,1,1,65.6344,2,54.5
0,3,1,1,1,20.25,2,16.0
1,2,0,0,0,13.0,2,30.0
0,1,1,1,0,53.1,2,19.0
0,3,1,0,0,7.75,1,31.0
1,2,0,1,1,23.0,2,4.0
1,3,1,0,1,12.475,2,6.0
0,3,1,0,0,9.5,2,33.0
0,3,1,0,0,7.8958,2,23.0
1,2,0,1,2,65.0,2,48.0
1,2,1,1,1,14.5,2,2.5
0,3,1,0,0,7.7958,2,28.0
0,2,1,0,0,11.5,2,18.0
0,3,1,0,0,8.05,2,34.0
1,1,0,0,0,65.6344,2,33.0
0,3,1,0,0,14.5,2,29.69911764705882
0,3,1,0,0,7.125,2,41.0
1,3,1,0,0,7.2292,0,20.0
1,1,0,1,2,65.6344,2,36.0
0,3,1,0,0,7.775,2,16.0
1,1,0,1,0,65.6344,2,51.0
0,1,1,0,0,39.6,0,29.69911764705882
0,3,0,0,0,7.75,1,30.5
0,3,1,1,0,24.15,1,29.69911764705882
0,3,1,0,0,8.3625,2,32.0
0,3,1,0,0,9.5,2,24.0
0,3,1,0,0,7.8542,2,48.0
0,2,0,0,0,10.5,2,54.5
0,3,1,0,0,7.225,0,29.69911764705882
1,2,0,1,3,23.0,2,54.0
0,3,1,0,0,7.75,2,18.0
0,3,1,0,0,7.75,1,29.69911764705882
1,3,0,0,0,12.475,2,5.0
0,3,1,0,0,7.7375,1,29.69911764705882
1,1,0,0,1,65.6344,2,43.0
1,3,0,0,0,7.2292,0,13.0
1,1,0,1,0,57.0,2,17.0
0,1,1,0,0,30.0,2,29.0
0,3,1,1,2,23.45,2,29.69911764705882
0,3,1,0,0,7.05,2,25.0
0,3,1,0,0,7.25,2,25.0
1,3,0,0,0,7.4958,2,18.0
0,3,1,4,1,29.125,1,8.0
1,3,1,1,2,20.575,2,2.5
0,1,1,0,0,65.6344,0,46.0
0,3,1,0,0,7.75,1,29.69911764705882
0,2,1,0,0,26.0,2,16.0
0,3,0,8,2,65.6344,2,29.69911764705882
0,1,1,0,0,30.6958,0,29.69911764705882
0,3,1,0,0,7.8958,2,25.0
0,2,1,0,0,13.0,2,39.0
1,1,0,0,0,25.9292,2,49.0
1,3,0,0,0,8.6833,2,31.0
0,3,1,0,0,7.2292,0,30.0
0,3,0,1,1,24.15,2,30.0
0,2,1,0,0,13.0,2,34.0
1,2,0,1,1,26.25,2,31.0
1,1,1,1,2,65.6344,2,11.0
1,3,1,0,1,8.5167,0,2.5
1,3,1,0,0,6.975,2,27.0
0,3,1,0,0,7.775,2,31.0
0,1,1,0,0,0.0,2,39.0
0,3,0,0,0,7.775,2,18.0
0,2,1,0,0,13.0,2,39.0
1,1,0,1,0,53.1,2,33.0
0,3,1,0,0,7.8875,2,26.0
0,3,1,0,0,24.15,2,39.0
0,2,1,0,0,10.5,2,35.0
0,3,0,4,2,31.275,2,6.0
0,3,1,0,0,8.05,2,30.5
0,1,1,0,0,0.0,2,29.69911764705882
0,3,0,0,0,7.925,2,23.0
0,2,1,1,1,37.0042,0,31.0
0,3,1,0,0,6.45,2,43.0
0,3,1,3,2,27.9,2,10.0
1,1,0,1,1,65.6344,2,52.0
1,3,1,0,0,8.6625,2,27.0
0,1,1,0,0,0.0,2,38.0
1,3,0,0,1,12.475,2,27.0
0,3,1,4,1,39.6875,2,2.5
0,3,1,0,0,6.95,1,29.69911764705882
0,3,1,0,0,56.4958,2,29.69911764705882
1,2,1,0,2,37.0042,0,2.5
1,3,1,0,0,7.75,1,29.69911764705882
1,1,0,0,0,65.6344,3,54.5
1,3,0,1,0,14.4542,0,15.0
1,2,1,1,1,18.75,2,2.5
0,3,1,0,0,7.2292,0,29.69911764705882
0,3,1,0,0,7.8542,2,23.0
0,3,1,0,0,8.3,2,18.0
1,1,0,1,1,65.6344,0,39.0
0,3,1,0,0,8.6625,2,21.0
0,3,1,0,0,8.05,2,29.69911764705882
1,3,1,0,0,56.4958,2,32.0
1,1,1,0,0,29.7,0,29.69911764705882
0,3,1,0,0,7.925,2,20.0
0,2,1,0,0,10.5,2,16.0
1,1,0,0,0,31.0,0,30.0
0,3,1,0,0,6.4375,0,34.5
0,3,1,0,0,8.6625,2,17.0
0,3,1,0,0,7.55,2,42.0
0,3,1,8,2,65.6344,2,29.69911764705882
0,3,1,0,0,7.8958,0,35.0
0,2,1,0,1,33.0,2,28.0
1,1,0,1,0,65.6344,0,29.69911764705882
0,3,1,4,2,31.275,2,4.0
0,3,1,0,0,7.775,2,54.5
0,3,0,1,1,15.2458,0,9.0
1,1,0,0,1,39.4,2,16.0
0,2,0,1,0,26.0,2,44.0
1,3,0,0,1,9.35,2,18.0
1,1,0,1,1,65.6344,2,45.0
1,1,1,0,0,26.55,2,51.0
1,3,0,0,3,19.2583,0,24.0
0,3,1,0,0,7.2292,0,29.69911764705882
0,3,1,2,0,14.1083,2,41.0
0,2,1,1,0,11.5,2,21.0
1,1,0,0,0,25.9292,2,48.0
0,3,0,8,2,65.6344,2,29.69911764705882
0,2,1,0,0,13.0,2,24.0
1,2,0,0,0,13.0,2,42.0
1,2,0,1,0,13.8583,0,27.0
0,1,1,0,0,50.4958,2,31.0
0,3,1,0,0,9.5,2,29.69911764705882
1,3,1,1,1,11.1333,2,4.0
0,3,1,0,0,7.8958,2,26.0
1,1,0,1,1,52.5542,2,47.0
0,1,1,0,0,5.0,2,33.0
0,3,1,0,0,9.0,2,47.0
1,2,0,1,0,24.0,0,28.0
1,3,0,0,0,7.225,0,15.0
0,3,1,0,0,9.8458,2,20.0
0,3,1,0,0,7.8958,2,19.0
0,3,1,0,0,7.8958,2,29.69911764705882
1,1,0,0,1,65.6344,0,54.5
1,2,0,0,1,26.0,2,25.0
0,3,1,0,0,7.8958,2,33.0
0,3,0,0,0,10.5167,2,22.0
0,2,1,0,0,10.5,2,28.0
0,3,1,0,0,7.05,2,25.0
0,3,0,0,5,29.125,1,39.0
0,2,1,0,0,13.0,2,27.0
1,1,0,0,0,30.0,2,19.0
0,3,0,1,2,23.45,2,29.69911764705882
1,1,1,0,0,30.0,0,26.0
0,3,1,0,0,7.75,1,32.0
