Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Purpose,Credit
52,1,2,1,1,3,24,5,0
66,1,0,0,2,2,12,1,0
25,0,2,2,4,0,24,1,0
37,1,2,1,0,3,36,1,1
25,0,2,1,0,0,18,5,1
38,1,3,1,3,3,36,1,1
67,0,2,1,0,1,18,6,1
25,1,2,1,0,1,39,5,1
60,1,2,1,3,3,24,1,0
31,1,1,1,0,1,12,3,0
23,0,1,1,1,1,12,1,0
60,1,3,1,4,1,20,1,1
35,1,1,1,3,1,18,0,0
40,1,2,1,2,3,22,5,1
38,1,2,1,4,3,48,1,1
50,1,2,0,0,1,48,3,1
27,1,2,1,0,0,40,3,1
39,0,2,1,0,1,21,0,0
41,1,3,1,4,3,24,1,1
27,1,2,1,4,3,6,4,0
51,1,2,0,0,2,24,4,1
32,1,2,2,2,3,24,4,1
22,0,2,2,1,3,9,4,0
51,1,2,0,4,0,18,1,1
22,0,1,2,0,3,12,4,0
54,1,2,1,4,3,24,1,0
35,1,0,1,4,1,9,1,0
54,1,2,0,0,3,24,3,0
48,0,1,2,0,1,18,5,0
24,0,2,1,0,0,20,4,1
35,1,2,1,4,3,12,5,0
24,0,0,2,4,1,12,1,1
24,1,2,1,0,0,36,1,1
26,1,1,1,0,1,6,5,0
65,1,2,1,4,3,12,5,0
55,1,3,0,0,1,42,1,1
26,0,0,2,0,1,15,1,0
26,1,2,1,0,1,8,0,0
28,1,1,1,0,1,6,5,0
24,1,2,1,0,0,36,1,1
54,1,2,1,0,0,48,2,1
46,1,2,0,0,0,48,1,1
54,0,2,2,0,1,36,1,1
62,1,2,1,2,3,6,2,0
24,0,2,2,0,3,6,5,0
43,1,3,1,0,0,36,7,1
26,1,2,1,0,0,18,5,0
27,1,2,1,0,3,12,1,0
24,1,2,1,0,2,12,5,1
41,1,2,1,0,0,36,4,1
47,1,1,1,0,0,8,1,0
35,1,3,1,0,3,18,4,1
30,1,2,1,0,0,21,1,0
33,0,2,2,0,0,18,1,1
36,1,2,1,0,3,18,0,1
47,1,2,0,4,0,36,1,1
38,1,2,0,4,1,48,0,1
44,1,2,1,2,3,24,0,1
23,0,2,2,0,0,18,1,0
29,1,2,2,0,0,45,0,1
42,0,2,1,4,1,24,5,1
25,0,1,1,0,2,15,5,1
48,1,2,1,0,0,12,1,0
21,0,2,1,4,3,12,5,0
23,0,1,2,0,3,4,4,0
63,1,2,1,0,0,24,1,1
46,1,2,1,0,3,24,5,1
29,1,2,1,0,0,36,4,1
28,1,1,1,0,3,21,1,1
23,0,2,1,0,3,18,6,0
50,1,2,1,0,3,24,0,0
47,1,2,1,0,3,18,4,1
35,1,2,1,4,1,21,4,1
68,1,2,2,4,3,18,1,1
28,1,2,1,0,3,24,1,0
59,1,2,1,0,0,9,5,0
57,1,1,1,0,0,12,5,0
33,1,2,2,0,0,20,1,0
43,1,2,1,4,3,24,1,1
35,1,2,0,0,3,15,5,0
32,1,1,0,0,0,18,1,0
45,1,2,1,0,3,36,1,1
33,1,2,1,1,3,24,1,0
40,0,2,1,4,3,10,3,0
28,1,2,0,0,3,15,4,1
29,0,2,1,0,0,15,1,1
26,1,2,2,1,3,9,1,1
27,1,2,1,3,3,24,1,1
28,1,2,1,0,3,18,0,0
35,0,2,1,0,0,24,5,1
32,1,1,1,3,3,27,4,1
25,1,1,2,0,3,10,4,0
20,0,2,2,2,3,15,4,0
27,0,2,1,0,0,18,5,1
42,1,2,1,0,3,12,4,1
37,1,2,1,4,3,36,0,1
24,0,2,2,0,0,12,4,0
40,0,2,1,2,3,36,4,1
46,1,2,1,0,2,6,1,0
26,1,2,1,1,0,24,0,0
24,0,2,1,4,3,15,2,0
29,1,1,1,0,0,12,4,1
40,0,2,1,3,1,11,1,0
36,1,3,0,0,0,18,5,0
28,1,2,1,0,3,36,5,1
27,1,3,0,0,0,9,1,0
36,1,2,1,4,3,30,5,1
38,1,3,1,0,3,24,1,1
48,1,2,0,4,3,24,1,1
36,1,2,1,4,1,30,1,0
65,0,0,1,0,3,18,5,0
43,1,2,1,0,1,24,4,1
53,0,2,1,0,0,12,3,0
34,1,2,1,4,1,24,0,1
23,1,2,1,0,1,48,0,1
34,1,3,1,0,3,36,1,1
40,1,2,2,4,3,28,1,1
43,1,3,1,0,0,27,0,1
46,1,2,1,0,3,15,5,0
38,1,1,1,0,0,12,1,0
34,1,2,1,0,1,36,1,1
29,1,2,1,4,3,18,5,0
31,1,3,1,4,3,36,1,1
28,0,3,2,0,0,21,5,1
35,0,2,1,3,3,12,4,0
33,0,1,2,4,3,15,4,0
42,1,2,1,0,0,18,4,1
43,1,2,2,0,0,16,1,1
44,1,2,1,4,3,20,1,1
42,1,2,0,4,3,36,1,1
40,1,2,2,4,3,15,5,0
36,1,3,1,0,3,24,5,0
20,1,3,2,0,0,12,5,0
24,1,1,1,4,0,21,1,1
27,1,2,1,4,1,36,3,1
46,0,1,1,0,3,15,1,1
33,0,1,1,4,1,9,1,1
34,0,2,1,0,3,36,5,1
25,0,1,1,0,1,24,4,1
25,0,2,1,4,1,30,5,1
28,1,2,1,3,3,11,0,0
31,1,2,2,0,0,24,0,1
32,0,3,1,0,1,48,7,1
32,1,2,1,1,3,10,1,1
68,1,3,1,0,0,6,1,1
33,1,2,1,1,0,24,4,1
39,1,3,2,0,0,24,4,1
28,0,2,1,0,3,18,4,0
37,1,3,1,2,3,48,5,1
22,0,2,2,0,0,9,5,0
30,1,2,2,0,1,12,1,0
55,1,2,1,0,0,24,4,1
46,1,2,1,0,0,12,1,0
21,0,2,2,0,0,18,4,0
39,1,2,0,0,0,48,1,1
58,1,2,1,4,3,30,5,0
43,1,1,1,0,0,12,1,0
24,1,1,1,0,0,24,4,0
22,0,2,1,0,1,9,5,0
30,1,2,1,0,3,9,1,0
42,1,2,1,2,3,12,5,0
23,0,2,1,0,0,12,5,0
30,1,3,1,1,1,30,5,0
28,0,1,1,0,2,9,5,0
30,1,3,2,0,1,6,5,0
42,1,2,0,0,1,60,3,1
46,1,3,1,4,3,24,1,1
45,1,3,1,4,3,12,1,1
31,1,1,1,0,3,10,1,0
31,1,2,1,4,3,24,4,0
42,1,1,1,0,3,4,1,0
46,0,2,2,0,0,15,4,0
30,0,2,1,2,1,48,1,1
30,1,2,0,2,0,24,4,1
38,1,3,1,4,3,12,1,1
43,1,1,1,0,3,18,4,0
31,1,2,1,1,3,24,5,1
40,1,0,1,0,1,18,0,1
24,1,2,1,0,0,36,0,0
28,0,2,2,2,1,24,1,1
26,0,3,1,0,3,36,4,1
29,0,2,1,0,0,12,1,0
57,0,3,2,3,0,24,5,0
49,1,1,1,4,2,30,5,1
37,1,1,1,0,1,9,5,0
45,1,1,1,0,0,28,1,1
30,1,2,0,1,1,24,4,1
30,1,2,2,0,3,6,5,0
47,1,2,1,0,1,21,1,1
29,1,2,1,4,3,15,1,1
35,1,2,1,2,3,24,5,1
22,1,1,1,0,1,6,6,0
26,0,2,1,4,1,30,5,0
23,1,1,1,2,1,27,5,1
54,0,3,2,0,3,15,5,1
29,1,2,2,4,3,42,5,1
40,1,1,1,0,0,11,1,1
22,1,2,1,1,1,15,6,0
43,1,1,1,0,3,24,1,1
29,0,0,2,0,0,24,1,0
36,1,2,2,0,0,60,0,1
33,0,2,1,0,3,30,5,1
57,0,1,1,2,2,24,5,0
64,0,2,1,0,1,6,5,0
42,1,2,1,4,1,18,0,1
47,1,1,1,0,3,24,1,1
25,1,2,2,1,1,15,1,0
49,1,2,1,0,1,30,4,1
33,1,3,2,0,3,48,0,1
28,0,3,1,1,2,21,1,1
26,1,2,1,0,0,36,1,1
30,1,1,1,0,3,24,4,0
25,0,2,2,0,0,15,4,0
33,1,2,1,0,2,42,0,1
64,0,2,1,1,3,13,5,0
29,1,3,0,0,0,24,1,1
48,1,1,1,0,1,24,5,0
37,1,1,1,4,3,12,3,1
34,1,1,1,1,3,15,5,0
23,1,1,2,4,0,18,5,0
30,1,3,1,0,0,36,4,1
50,1,2,1,4,3,12,1,1
31,0,1,1,0,3,12,4,0
40,1,3,1,0,0,30,1,1
38,1,2,1,0,3,12,5,0
23,1,2,0,0,0,45,5,0
27,1,2,1,1,1,45,1,1
